Sample,SBET(m2/g),SL(m2/g),VT(cm3/g),P(kPa),T(K),Mental center,Uptake
"Zn4O(FMA)3 b(Xue et al., 2009)",1120,1618,0.6483,2800,300,Zn,15.7
"Zn9O3(2,7-ndc)6(dmf)3 c(Park et al., 2009)",834,1146,0.41,4000,298,Zn,7.1
"UiO-66(Hf)(Hu et al., 2016)",940,1082,0.42,15,298,Hf,0.36
,940,1082,0.42,100,298,Hf,1.5
,940,1082,0.42,100,273,Hf,2.38
"UiO-66(Hf)-NH2(Hu et al., 2016)",1067,1281,0.52,15,298,Hf,0.93
,1067,1281,0.52,100,298,Hf,2.8
,1067,1281,0.52,100,273,Hf,3.99
"UiO-66(Hf)-(OH)2(Hu et al., 2016)",922,1018,0.4,15,298,Hf,1.81
,922,1018,0.4,100,298,Hf,4.06
,922,1018,0.4,100,273,Hf,4.93
"UiO-66(Hf)-(COOH)2(Hu et al., 2016)",378,491,0.26,15,298,Hf,0.4
,378,491,0.26,100,298,Hf,1.2
,378,491,0.26,100,273,Hf,1.67
"UiO-66(Hf)-(F)4(Yuan et al., 2010)",329,426,0.25,15,298,Hf,0.28
,329,426,0.25,100,298,Hf,0.82
,329,426,0.25,100,273,Hf,1.23
"PCN-68(Yuan et al., 2010)",5109,6033,2.13,3500,298,Cu,30.4
,5109,5457.5,2.13,2000,298,Cu,22.1
"IRMOF-1(Millward and Yaghi, 2005)",2883,3101.4,1.0393,4000,298,Zn,22
"Cu-TPBTM(Zheng et al., 2011)",2447,3195.8,0.954,2000,273,Cu,26.3
,2447,3195.8,0.954,2000,298,Cu,21.35
